Key,Value
About,"This is a text database for translators. To translate a mod, you need to put this file in the Text folder and translate. Not needed for the English version! Only need for the translation!"
NoneLabel,"None"
AbilitiesLabel,"Abilities"
AdviceLabel,"Advice"
KillcountLabel,"Killcount"
LanguageLabel,"Language"
MaterialLabel,"Material"
OverviewLabel,"Overview"
SpellsLabel,"Spells"
SummaryLabel,"Summary"
BestiaryTitle,"Bestiary"
SummarySubTitle,"Summary"
UnlockBestiaryToUseIt,"You have not yet unlocked the Bestiary. Find the Bestiary book item and click USE on it."
YouDontHaveBestiary,"You do not have the Bestiary item in your inventory."
YouHaveUnlockedTheBestiary,"You study the contents of the book closely. You have unlocked the Bestiary."
AddedToTheBestiary,"{0} has been added to the Bestiary."
NoMaterial,"No special material is required"
MaterialMithril,"Mithril or higher is required"
MaterialSilver,"Silver or higher is required"
MaterialDwarven,"Dwarven or higher is required"
MaterialSteel,"Steel or higher is required"
MaterialElven,"Elven or higher is required"
AnimalsTitle,"Animals"
AnimalsOverview,"Animals are mundane creatures, or oversized versions of them. They never carry any treasure, though you may still retrieve arrows from their corpses. Certain animals are carriers of disease. No special materials are required to harm them."
AtronachsTitle,"Atronachs"
AtronachsOverview,"Some of the atronachs in the Iliac Bay are Daedric in origin, however, some are golem-like constructs created by mages in the Iliac Bay. Though they can be hit by any material, they are tied to a certain element and are thus weak to the opposing element. Lastly, they carry no treasure."
DaedraTitle,"Daedra"
DaedraOverview,"""Daedra"" is a term for any of the numerous varieties of otherworldly beings from the plane of Oblivion. They are fairly challenging adversaries and can only be harmed by weapons of mithril quality or greater. All daedra can detect invisible foes."
LycanthropesTitle,"Lycanthropes"
LycanthropesOverview,"Lycanthropes are mortals who have been affected by Lycanthropy, a condition that transforms them into a large hybrid of humanoid and animal. Two types of lycanthropes exist in the Iliac Bay area - werewolves and wereboars, out of the eight total recorded species of tamriel. Weapons of at least silver quality are needed to harm them, though they're not exceptionally dangerous and carry no treasure. However, there is always a risk of contracting lycanthropy from combat."
MonstersTitle,"Monsters"
MonstersOverview,"Monsters are fantastical creatures, often possessing various magical abilities. These can range from magical attacks to various magical resistances, and many monsters can only be harmed by weapons made of special materials. Some monsters have an associated language skill. Also, unlike animals, you can find some treasure on the corpses of most monsters."
OrcsTitle,"Orcs"
OrcsOverview,"Hailing from Orsinium, these savage brutes can be found across the Iliac Bay. Like humanoids, their spoils include a good deal of equipment. No special materials are required to harm them."
UndeadTitle,"Undead"
UndeadOverview,"Undead creatures consist of spirits, reanimated skeletons and corpses, and vampires. They are a recurring menace in dungeons, and some can be very dangerous. Some types of undead are carriers of disease. Most undead are able to detect invisible foes. Ghosts, Skeletal Warriors, Wraiths and Zombies are also often found underwater."
AncientLichSummary,"Ancient Liches are undead beings of immense power; stronger, smarter, faster, and tougher to destroy than their lesser brethren. They are one of the most dangerous opponents any adventurer will ever face."
AncientLichAdvice,"Due to the extreme danger of the Ancient Lich's spellcasting abilities, the use of Spell Reflection, Spell Resistance, or Spell Absorption is a definite must when fighting one. Your safest bets are to attack with ranged weapons or have plenty of healing potions and spells on hand. Ancient Liches will sometimes use area effect damage spells at too close a range and harm or even destroy themselves."
CentaurSummary,"Centaurs are half-man, half-horse monsters wielding spears or other weapons."
CentaurAdvice,"As centaurs are resistant to magic, melee attacks work best. The Centaurian language skill can sometimes render an enemy non-hostile."
CentaurAbility,"Resistance to Magic"
DaedraLordSummary,"With weapons and magic at their disposal, Daedra Lords are powerful and dangerous opponents."
DaedraLordAdvice,"One of the most dangerous foes in the game, the Daedra Lord possesses formidable fighting abilities in close combat. When fighting a Daedra Lord, close in quickly to prevent him from using magic too frequently, and backpedal after striking to avoid his attacks. Spell Reflection, Spell Resistance, or Spell Absorption is a must, especially when fighting at distance as he will use his area effect Fireball spell. A Daedra Lord will sometimes use this spell too close, resulting in his own harm or destruction from its blast."
DaedraLordAbilities,"Can detect camouflaged or invisible foes|Immunity to Paralysis, Poison, and Disease|Regenerates Health (General)|Takes Damage from Holy Places"
DaedraSeducerSummary,"Daedra Seducers appear to be alluring spellcasters at first, but when attacked reveal their true bat-winged forms."
DaedraSeducerAdvice,"Daedra Seducers are best fought with ranged weapons or magic, as their spells can be devastating at close range. Spell Reflection, Spell Resistance, or Spell Absorption are recommended when fighting one."
DaedraSeducerAbilities,"Can detect camouflaged or invisible foes"
DaedrothSummary,"Daedroths (also known as Lesser Daedra) are crocodile-headed warriors wielding deadly axes and sinister spells."
DaedrothAdvice,"Close in quickly and use melee attacks to deny the Daedroth an opportunity to cast its ranged spells. You may also wish to protect yourself with Spell Reflection, Spell Resistance, or Spell Absorption. Daedroths are especially dangerous to spellcasters, as they make frequent use of their Silence spell. However, they are in most cases inferior in combat, so if a Daedroth is itself silenced melee attacks should result in the creature's quick death."
DaedrothAbilities,"Can detect camouflaged or invisible foes"
DragonlingSummary,"Dragonlings are winged reptiles that resemble dragons and attack by breathing fire."
DragonlingAdvice,"Melee attacks are best. Beware its fiery breath, for it is not a spell. Dragonlings are heavily armored and can take a lot of hits."
